"","Province_State","Week","MMWRyear","MMWRweek","MMWRday","Doses_admin_yf","Total_additional_doses_yf","People_at_least_one_dose_yf","People_fully_vaccinated_yf","Doses_admin_yf_daily","Total_additional_doses_yf_daily","People_at_least_one_dose_yf_daily","People_fully_vaccinated_yf_daily"
"1","United States",2020-12-13,2020,25,1,254142,0,0,0,254142,0,0,0
"2","United States",2020-12-20,2020,26,1,2033936,0,0,0,1779794,0,0,0
"3","United States",2020-12-27,2020,27,1,4172658,0,0,0,2138722,0,0,0
"4","United States",2021-01-03,2020,27,1,7426145,0,0,0,3253487,0,0,0
"5","United States",2021-01-10,2020,28,1,12917607,0,0,0,5491462,0,0,0
"6","United States",2021-01-17,2020,29,1,19107959,0,0,0,6190352,0,0,0
"7","United States",2021-01-24,2020,30,1,27884661,0,0,0,8776702,0,0,0
"8","United States",2021-01-31,2020,31,1,36819212,0,0,0,8934551,0,0,0
"9","United States",2021-02-07,2020,32,1,48410558,0,0,0,11591346,0,0,0
"10","United States",2021-02-14,2020,33,1,59585043,0,41977401,0,11174485,0,41977401,0
"11","United States",2021-02-21,2020,34,1,70454064,0,47184199,0,10869021,0,5206798,0
"12","United States",2021-02-28,2020,35,1,85008094,0,55547697,28709428,14554030,0,8363498,28709428
"13","United States",2021-03-07,2020,36,1,101128005,0,65965305,35000159,16119911,0,10417608,6290731
"14","United States",2021-03-14,2020,37,1,118313818,0,77230061,41934629,17185813,0,11264756,6934470
"15","United States",2021-03-21,2020,38,1,136684688,0,89559225,48695172,18370870,0,12329164,6760543
"16","United States",2021-03-28,2020,39,1,157606463,0,101804762,57984785,20921775,0,12245537,9289613
"17","United States",2021-04-04,2020,40,1,178837781,0,114436039,68202458,21231318,0,12631277,10217673
"18","United States",2021-04-11,2020,41,1,202282923,0,127743096,80609818,23445142,0,13307057,12407360
"19","United States",2021-04-18,2020,42,1,222322230,0,137234889,91175995,20039307,0,9491793,10566177
"20","United States",2021-04-25,2020,43,1,240159677,0,144894586,101407318,17837447,0,7659697,10231323
"21","United States",2021-05-02,2020,44,1,254779333,0,150416559,110874920,14619656,0,5521973,9467602
"22","United States",2021-05-09,2020,45,1,268438666,0,155251852,120258637,13659333,0,4835293,9383717
"23","United States",2021-05-16,2020,46,1,281595351,0,161278336,127778250,13156685,0,6026484,7519613
"24","United States",2021-05-23,2020,47,1,292099778,0,166388129,133532544,10504427,0,5109793,5754294
"25","United States",2021-05-30,2020,48,1,299120522,0,169735441,137455367,7020744,0,3347312,3922823
"26","United States",2021-06-06,2020,49,1,306509795,0,172758350,142095530,7389273,0,3022909,4640163
"27","United States",2021-06-13,2020,50,1,316048776,0,176290249,148459003,9538981,0,3531899,6363473
"28","United States",2021-06-20,2020,51,1,321199379,0,178491147,151615554,5150603,0,2200898,3156551
"29","United States",2021-06-27,2020,52,1,328809470,0,181650678,156255896,7610091,0,3159531,4640342
"30","United States",2021-07-04,2021,1,1,332966409,0,183542871,158629431,4156939,0,1892193,2373535
"31","United States",2021-07-11,2021,2,1,336604158,0,185424899,160686378,3637749,0,1882028,2056947
"32","United States",2021-07-18,2021,3,1,340363922,0,187579557,162435276,3759764,0,2154658,1748898
"33","United States",2021-07-25,2021,4,1,344928514,0,190509183,164184080,4564592,0,2929626,1748804
"34","United States",2021-08-01,2021,5,1,349787479,0,193764457,165918256,4858965,0,3255274,1734176
"35","United States",2021-08-08,2021,6,1,354777950,0,197081471,167699170,4990471,0,3317014,1780914
"36","United States",2021-08-15,2021,7,1,360634287,0,200421787,169998983,5856337,0,3340316,2299813
"37","United States",2021-08-22,2021,8,1,366838484,732229,203475192,172646952,6204197,732229,3053405,2647969
"38","United States",2021-08-29,2021,9,1,373516809,1245003,206461869,175538025,6678325,512774,2986677,2891073
"39","United States",2021-09-05,2021,10,1,378569717,1641393,208704230,177899458,5052908,396390,2242361,2361433
"40","United States",2021-09-12,2021,11,1,383994877,2043976,211097597,180572171,5425160,402583,2393367,2672713
"41","United States",2021-09-19,2021,12,1,388567109,2443106,212861380,182958696,4572232,399130,1763783,2386525
"42","United States",2021-09-26,2021,13,1,393756866,4363791,214597690,184852416,5189757,1920685,1736310,1893720
"43","United States",2021-10-03,2021,14,1,400669422,7284455,216573911,186917921,6912556,2920664,1976221,2065505
"44","United States",2021-10-10,2021,15,1,406570875,9723131,218318056,188655196,5901453,2438676,1744145,1737275
"45","United States",2021-10-17,2021,16,1,411963025,12037101,219900525,190179553,5392150,2313970,1582469,1524357
"46","United States",2021-10-24,2021,17,1,419020753,16682269,221104708,191997869,7057728,4645168,1204183,1818316
"47","United States",2021-10-31,2021,18,1,428006540,22271357,222902939,193425862,8985787,5589088,1798230,1427993
"48","United States",2021-11-07,2021,19,1,437352000,27660515,225606197,194747839,9345460,5389158,2703258,1321977
"49","United States",2021-11-14,2021,20,1,448155906,33454832,229291004,195920566,10803906,5794317,3684807,1172727
"50","United States",2021-11-21,2021,21,1,454447737,37499004,231367686,196187645,6291831,4044172,2076682,267079
"51","United States",2021-11-28,2021,22,1,466348132,44035293,234743864,198211641,11900395,6536289,3376178,2023995
"52","United States",2021-12-05,2021,23,1,480567772,51749171,238143066,201279582,14219640,7713878,3399202,3067941
"53","United States",2021-12-12,2021,24,1,491892649,58185916,240775382,203479206,11324877,6436745,2632316,2199624
"54","United States",2021-12-19,2021,25,1,501888667,65462710,241974358,204966561,9996018,7276794,1198976,1487355
