"Province_State","Week","MMWRyear","MMWRweek","MMWRday","Population_Estimate","Deaths_yf","Confirmed_Cases_yf","Deaths_Daily","Confirmed_Cases_Daily"
"United States",2020-01-19,2019,30,1,331526933,1,2,1,2
"United States",2020-01-26,2019,31,1,331526933,1,8,0,6
"United States",2020-02-02,2019,32,1,331526933,1,12,0,4
"United States",2020-02-09,2019,33,1,331526933,1,14,0,2
"United States",2020-02-16,2019,34,1,331526933,1,16,0,2
"United States",2020-02-23,2019,35,1,331526933,2,26,1,10
"United States",2020-03-01,2019,36,1,331526933,18,417,16,391
"United States",2020-03-08,2019,37,1,331526933,61,2952,43,2535
"United States",2020-03-15,2019,38,1,331526933,480,25942,419,22990
"United States",2020-03-22,2019,39,1,331526933,3011,127088,2531,101146
"United States",2020-03-29,2019,40,1,331526933,11564,323220,8553,196132
"United States",2020-04-05,2019,41,1,331526933,26242,544178,14678,220958
"United States",2020-04-12,2019,42,1,331526933,41451,741991,15209,197813
"United States",2020-04-19,2019,43,1,331526933,56843,948405,15392,206414
"United States",2020-04-26,2019,44,1,331526933,70180,1141275,13337,192870
"United States",2020-05-03,2019,45,1,331526933,82380,1316945,12200,175670
"United States",2020-05-10,2019,46,1,331526933,92236,1472306,9856,155361
"United States",2020-05-17,2019,47,1,331526933,100630,1625763,8394,153457
"United States",2020-05-24,2019,48,1,331526933,107087,1771078,6457,145315
"United States",2020-05-31,2019,49,1,331526933,112950,1920655,5863,149577
"United States",2020-06-07,2019,50,1,331526933,118012,2069321,5062,148666
"United States",2020-06-14,2019,51,1,331526933,122160,2252065,4148,182744
"United States",2020-06-21,2019,52,1,331526933,126020,2512193,3860,260128
"United States",2020-06-28,2020,1,1,331526933,129701,2848502,3681,336309
"United States",2020-07-05,2020,2,1,331526933,134984,3252091,5283,403589
"United States",2020-07-12,2020,3,1,331526933,140539,3704362,5555,452271
"United States",2020-07-19,2020,4,1,331526933,146978,4164754,6439,460392
"United States",2020-07-26,2020,5,1,331526933,154847,4598405,7869,433651
"United States",2020-08-02,2020,6,1,331526933,162063,4984997,7216,386592
"United States",2020-08-09,2020,7,1,331526933,169075,5373929,7012,388932
"United States",2020-08-16,2020,8,1,331526933,175175,5673005,6100,299076
"United States",2020-08-23,2020,9,1,331526933,181412,5961139,6237,288134
"United States",2020-08-30,2020,10,1,331526933,187191,6246395,5779,285256
"United States",2020-09-06,2020,11,1,331526933,192226,6489570,5035,243175
"United States",2020-09-13,2020,12,1,331526933,197544,6777406,5318,287836
"United States",2020-09-20,2020,13,1,331526933,202813,7068661,5269,291255
"United States",2020-09-27,2020,14,1,331526933,207656,7366435,4843,297774
"United States",2020-10-04,2020,15,1,331526933,212623,7698927,4967,332492
"United States",2020-10-11,2020,16,1,331526933,217711,8085240,5088,386313
"United States",2020-10-18,2020,17,1,331526933,223553,8567358,5842,482118
"United States",2020-10-25,2020,18,1,331526933,229593,9135914,6040,568556
