"","Province_State","Week","Doses_yf","Total_Additional_Doses_yf","People_At_Least_One_Dose_yf","People_Fully_Vaccinated_yf","Doses_yf_Percent","Total_Additional_Doses_yf_Percent","People_At_Least_One_Dose_yf_Percent","People_Fully_Vaccinated_yf_Percent"
"1","Alabama",2020-12-27,36188,0,0,0,1,0,0,0
"2","Alabama",2021-12-26,5639733,640227,2873131,2338278,100,13,57,46
"3","Alabama",2022-12-25,6929554,1026310,3178492,2599499,100,20,63,51
"4","Alabama",2023-03-05,6988067,1036571,3187500,2607186,100,20,62,51
"5","Alaska",2020-12-27,16504,0,0,0,2,0,0,0
"6","Alaska",2021-12-26,1026473,143539,476117,412432,100,20,65,56
"7","Alaska",2022-12-25,1303955,232802,532210,475125,100,32,73,65
"8","Alaska",2023-03-05,1318755,235728,534386,476567,100,32,73,65
"9","American Samoa",2020-12-27,1022,0,0,0,2,0,0,0
"10","American Samoa",2021-12-26,75819,3408,40255,32705,100,7,87,71
"11","American Samoa",2022-12-25,114961,24639,46141,42436,100,54,100,93
"12","American Samoa",2023-03-05,115189,24671,46195,42467,100,55,100,95
"13","Arizona",2020-12-27,52652,0,0,0,1,0,0,0
"14","Arizona",2021-12-26,10525237,1262893,4907791,4155417,100,17,67,57
"15","Arizona",2022-12-25,14302488,2372435,5610927,4788266,100,32,76,65
"16","Arizona",2023-03-05,14526275,2402447,5671089,4809730,100,32,76,65
"17","Arkansas",2020-12-27,37537,0,0,0,1,0,0,0
"18","Arkansas",2021-12-26,3800300,467409,1892990,1545572,100,15,63,51
"19","Arkansas",2022-12-25,4803994,756594,2101193,1710670,100,25,69,56
"20","Arkansas",2023-03-05,4850072,764660,2110009,1716584,100,25,69,56
"21","California",2020-12-27,374497,0,0,0,1,0,0,0
"22","California",2021-12-26,66007187,8754917,32600833,26170768,100,22,83,67
"23","California",2022-12-25,86604013,17157306,33488198,29390202,100,44,86,75
"24","California",2023-03-05,87849577,17361361,33509455,29529176,100,45,86,76
"25","Colorado",2020-12-27,94751,0,0,0,2,0,0,0
"26","Colorado",2021-12-26,9546052,1570580,4300086,3818578,100,27,74,66
"27","Colorado",2022-12-25,12765099,2413923,4799319,4217542,100,41,82,72
"28","Colorado",2023-03-05,12922452,2440772,4821891,4234966,100,42,82,72
"29","Connecticut",2020-12-27,68070,0,0,0,2,0,0,0
"30","Connecticut",2021-12-26,6661686,1023396,3165940,2662379,100,28,88,74
"31","Connecticut",2022-12-25,8883525,1628555,3636096,2950962,100,45,100,82
"32","Connecticut",2023-03-05,8989907,1644253,3659371,2961528,100,45,100,82
"33","Delaware",2020-12-27,11066,0,0,0,1,0,0,0
"34","Delaware",2021-12-26,1587750,216993,747929,625661,100,22,74,62
"35","Delaware",2022-12-25,2120412,361595,853776,709932,100,35,84,70
"36","Delaware",2023-03-05,2159173,367998,859585,714261,100,36,83,69
"37","District of Columbia",2020-12-27,13167,0,0,0,2,0,0,0
"38","District of Columbia",2021-12-26,1292154,130641,626194,477625,100,20,94,71
"39","District of Columbia",2022-12-25,1930871,292358,797149,602325,100,44,100,90
"40","District of Columbia",2023-03-05,2101913,324750,830645,638828,100,48,100,94
"41","East North Central",2020-12-27,514892,0,0,0,1,0,0,0
"42","East North Central",2021-12-26,67528405,11087912,30455827,27396651,100,23,65,58
"43","East North Central",2022-12-25,88673432,17040291,33251350,30087008,100,36,71,64
"44","East North Central",2023-03-05,89753673,17222306,33373570,30203579,100,37,71,64
"45","East South Central",2020-12-27,224692,0,0,0,1,0,0,0
"46","East South Central",2021-12-26,23877558,3102748,11328576,9704474,100,16,58,50
"47","East South Central",2022-12-25,29743437,4791535,12461894,10682919,100,24,64,55
"48","East South Central",2023-03-05,30004972,4833394,12502028,10713237,100,25,63,54
"49","Florida",2020-12-27,237809,0,0,0,1,0,0,0
"50","Florida",2021-12-26,33736822,4315710,16024367,13620163,100,20,73,62
"51","Florida",2022-12-25,41494703,6478566,17630141,14852978,100,29,79,67
"52","Florida",2023-03-05,41968855,6546634,17727927,14915494,100,29,78,66
"53","Georgia",2020-12-27,75157,0,0,0,1,0,0,0
"54","Georgia",2021-12-26,13372602,1529709,6515061,5430775,100,14,60,50
"55","Georgia",2022-12-25,16829103,2647535,7235367,6061065,100,24,66,56
"56","Georgia",2023-03-05,17016706,2685418,7266971,6086702,100,24,66,55
"57","Guam",2020-12-27,2118,0,0,0,1,0,0,0
"58","Guam",2021-12-26,293020,32436,140898,127022,100,19,83,75
"59","Guam",2022-12-25,390704,77070,158404,143856,100,46,94,85
"60","Guam",2023-03-05,396175,78381,159120,144432,100,46,94,85
"61","Hawaii",2020-12-27,25040,0,0,0,2,0,0,0
