"Combined_Key","County","Province_State","Country_Region","Month","Deaths_Count"
"US",NA,NA,"US",2020-01-01,1
"US",NA,NA,"US",2020-02-01,1
"US",NA,NA,"US",2020-03-01,5344
"US",NA,NA,"US",2020-04-01,61184
"US",NA,NA,"US",2020-05-01,41175
"US",NA,NA,"US",2020-06-01,19558
"US",NA,NA,"US",2020-07-01,26469
"US",NA,NA,"US",2020-08-01,28599
"US",NA,NA,"US",2020-09-01,22891
"US",NA,NA,"US",2020-10-01,24371
"US",NA,NA,"US",2020-11-01,39730
"US",NA,NA,"US",2020-12-01,79629
"US",NA,NA,"US",2021-01-01,95663
"US",NA,NA,"US",2021-02-01,65015
"US",NA,NA,"US",2021-03-01,36436
"US",NA,NA,"US",2021-04-01,23612
"US",NA,NA,"US",2021-05-01,17907
"US",NA,NA,"US",2021-06-01,10380
"US",NA,NA,"US",2021-07-01,8750
"US",NA,NA,"US",2021-08-01,27966
"US",NA,NA,"US",2021-09-01,58786
"US",NA,NA,"US",2021-10-01,47860
"US",NA,NA,"US",2021-11-01,34474
"US",NA,NA,"US",2021-12-01,45987
"US",NA,NA,"US",2022-01-01,62845
"US",NA,NA,"US",2022-02-01,61115
"US",NA,NA,"US",2022-03-01,32728
"US",NA,NA,"US",2022-04-01,12875
"US",NA,NA,"US",2022-05-01,10819
"US",NA,NA,"US",2022-06-01,10209
"US",NA,NA,"US",2022-07-01,12368
"US",NA,NA,"US",2022-08-01,15934
"US",NA,NA,"US",2022-09-01,13073
"US",NA,NA,"US",2022-10-01,10758
"US",NA,NA,"US",2022-11-01,9975
"US",NA,NA,"US",2022-12-01,12120
"US",NA,NA,"US",2023-01-01,15765
"US",NA,NA,"US",2023-02-01,11121
"US",NA,NA,"US",2023-03-01,3892
"Alabama, US",NA,"Alabama","US",2020-01-01,0
"Alabama, US",NA,"Alabama","US",2020-02-01,0
"Alabama, US",NA,"Alabama","US",2020-03-01,23
"Alabama, US",NA,"Alabama","US",2020-04-01,249
"Alabama, US",NA,"Alabama","US",2020-05-01,358
"Alabama, US",NA,"Alabama","US",2020-06-01,320
"Alabama, US",NA,"Alabama","US",2020-07-01,630
"Alabama, US",NA,"Alabama","US",2020-08-01,602
"Alabama, US",NA,"Alabama","US",2020-09-01,358
"Alabama, US",NA,"Alabama","US",2020-10-01,427
"Alabama, US",NA,"Alabama","US",2020-11-01,611
"Alabama, US",NA,"Alabama","US",2020-12-01,1249
"Alabama, US",NA,"Alabama","US",2021-01-01,2861
"Alabama, US",NA,"Alabama","US",2021-02-01,2242
"Alabama, US",NA,"Alabama","US",2021-03-01,624
"Alabama, US",NA,"Alabama","US",2021-04-01,342
"Alabama, US",NA,"Alabama","US",2021-05-01,250
"Alabama, US",NA,"Alabama","US",2021-06-01,206
"Alabama, US",NA,"Alabama","US",2021-07-01,184
"Alabama, US",NA,"Alabama","US",2021-08-01,747
"Alabama, US",NA,"Alabama","US",2021-09-01,2016
"Alabama, US",NA,"Alabama","US",2021-10-01,1274
"Alabama, US",NA,"Alabama","US",2021-11-01,546
"Alabama, US",NA,"Alabama","US",2021-12-01,336
"Alabama, US",NA,"Alabama","US",2022-01-01,631
"Alabama, US",NA,"Alabama","US",2022-02-01,1139
"Alabama, US",NA,"Alabama","US",2022-03-01,1065
"Alabama, US",NA,"Alabama","US",2022-04-01,277
"Alabama, US",NA,"Alabama","US",2022-05-01,97
"Alabama, US",NA,"Alabama","US",2022-06-01,91
"Alabama, US",NA,"Alabama","US",2022-07-01,136
"Alabama, US",NA,"Alabama","US",2022-08-01,157
"Alabama, US",NA,"Alabama","US",2022-09-01,374
"Alabama, US",NA,"Alabama","US",2022-10-01,136
"Alabama, US",NA,"Alabama","US",2022-11-01,94
"Alabama, US",NA,"Alabama","US",2022-12-01,85
"Alabama, US",NA,"Alabama","US",2023-01-01,133
"Alabama, US",NA,"Alabama","US",2023-02-01,62
"Alabama, US",NA,"Alabama","US",2023-03-01,100
"Alaska, US",NA,"Alaska","US",2020-01-01,0
"Alaska, US",NA,"Alaska","US",2020-02-01,0
"Alaska, US",NA,"Alaska","US",2020-03-01,3
"Alaska, US",NA,"Alaska","US",2020-04-01,6
"Alaska, US",NA,"Alaska","US",2020-05-01,1
"Alaska, US",NA,"Alaska","US",2020-06-01,4
"Alaska, US",NA,"Alaska","US",2020-07-01,9
"Alaska, US",NA,"Alaska","US",2020-08-01,14
"Alaska, US",NA,"Alaska","US",2020-09-01,19
"Alaska, US",NA,"Alaska","US",2020-10-01,26
"Alaska, US",NA,"Alaska","US",2020-11-01,40
"Alaska, US",NA,"Alaska","US",2020-12-01,84
"Alaska, US",NA,"Alaska","US",2021-01-01,56
"Alaska, US",NA,"Alaska","US",2021-02-01,28
"Alaska, US",NA,"Alaska","US",2021-03-01,23
"Alaska, US",NA,"Alaska","US",2021-04-01,34
